INSTNM,CITY,STABBR,CreditBaseline,YearlyEstimatedSavings,ANNUAL AVG,estimatedReturnRate
University of California-Santa Barbara,Santa Barbara,CA,0.4,15858.1,6000.0,0.165
University of California-Santa Cruz,Santa Cruz,CA,0.3,14510.16,5490.0,0.13
Sofia University,Palo Alto,CA,0.3,15118.06,5720.0,0.135
California Beauty School,Modesto,CA,0.3,15435.22,5840.0,0.138
California Christian College,Fresno,CA,0.3,15620.23,5910.0,0.139
Haven University,Garden Grove,CA,0.4,15858.1,6000.0,0.165
California Hair Design Academy,La Mesa,CA,0.4,16175.26,6120.0,0.168
California Institute of the Arts,Valencia,CA,0.4,16651.01,6300.0,0.173
California State University Maritime Academy,Vallejo,CA,0.4,14827.33,5610.0,0.154
California Western School of Law,San Diego,CA,0.4,15937.39,6030.0,0.166
Canada College,Redwood City,CA,0.4,15408.79,5830.0,0.161
College of the Canyons,Santa Clarita,CA,0.4,16783.16,6350.0,0.175
Career Academy of Beauty,Garden Grove,CA,0.4,15567.37,5890.0,0.162
Casa Loma College-Los Angeles,Sherman Oaks,CA,0.4,16280.99,6160.0,0.17
CET-San Diego,San Diego,CA,0.4,15937.39,6030.0,0.166
CET-San Jose,San Jose,CA,0.3,15488.08,5860.0,0.138
CET-El Centro,El Centro,CA,0.3,17893.23,6770.0,0.16
CET-Colton,Colton,CA,0.4,16466.0,6230.0,0.172
CET-Watsonville,Watsonville,CA,0.3,15038.77,5690.0,0.134
CET-Salinas,Salinas,CA,0.3,14748.04,5580.0,0.132
Cerritos College,Norwalk,CA,0.4,15752.38,5960.0,0.164
Cerro Coso Community College,Ridgecrest,CA,0.4,18501.12,7000.0,0.193
Chabot College,Hayward,CA,0.4,14933.05,5650.0,0.156
Chaffey College,Rancho Cucamonga,CA,0.4,16254.56,6150.0,0.169
Chapman University,Orange,CA,0.4,15778.81,5970.0,0.164
Charles R Drew University of Medicine and Science,Los Angeles,CA,0.4,15858.1,6000.0,0.165
Concordia University-Irvine,Irvine,CA,0.4,15858.1,6000.0,0.165
San Diego Christian College,Spring Valley,CA,0.4,16360.28,6190.0,0.17
Church Divinity School of the Pacific,Berkeley,CA,0.4,14536.59,5500.0,0.151
Citrus College,Glendora,CA,0.4,15884.53,6010.0,0.165
Citrus Heights Beauty College,Citrus Heights,CA,0.3,15144.49,5730.0,0.135
City College of San Francisco,San Francisco,CA,0.4,13109.37,4960.0,0.137
Claremont Graduate University,Claremont,CA,0.4,16016.68,6060.0,0.167
Claremont McKenna College,Claremont,CA,0.4,16016.68,6060.0,0.167
Milan Institute-Visalia,Visalia,CA,0.4,15673.09,5930.0,0.163
Clovis Adult Education,Clovis,CA,0.3,15646.66,5920.0,0.14
Coast Community College District Office,Costa Mesa,CA,0.4,15012.34,5680.0,0.156
Coastline Community College,Fountain Valley,CA,0.4,15858.1,6000.0,0.165
University of Silicon Valley,San Jose,CA,0.3,15038.77,5690.0,0.134
Coba Academy,Anaheim,CA,0.4,15805.24,5980.0,0.165
Western University of Health Sciences,Pomona,CA,0.4,16043.11,6070.0,0.167
Columbia College,Sonora,CA,0.4,15725.95,5950.0,0.164
Columbia College Hollywood,Tarzana,CA,0.4,16333.85,6180.0,0.17
Compton College,Compton,CA,0.4,15752.38,5960.0,0.164
Contra Costa Community College District Office,Martinez,CA,0.4,15038.77,5690.0,0.157
Contra Costa College,San Pablo,CA,0.4,14748.04,5580.0,0.154
Cosumnes River College,Sacramento,CA,0.3,15091.63,5710.0,0.135
Crafton Hills College,Yucaipa,CA,0.4,16677.44,6310.0,0.174
Cuesta College,San Luis Obispo,CA,0.3,16254.56,6150.0,0.145
Cuyamaca College,El Cajon,CA,0.4,16360.28,6190.0,0.17
Cypress College,Cypress,CA,0.4,15752.38,5960.0,0.164
De Anza College,Cupertino,CA,0.3,15435.22,5840.0,0.138
International School of Beauty Inc,Palm Desert,CA,0.4,17813.94,6740.0,0.186
Dell'Arte International School of Physical Theatre,Blue Lake,CA,0.3,12607.19,4770.0,0.113
College of the Desert,Palm Desert,CA,0.4,17761.08,6720.0,0.185
Design Institute of San Diego,San Diego,CA,0.4,15990.25,6050.0,0.167
Dharma Realm Buddhist University,Ukiah,CA,0.3,15170.92,5740.0,0.135
Diablo Valley College,Pleasant Hill,CA,0.4,15223.78,5760.0,0.159
Dominican University of California,San Rafael,CA,0.4,14985.91,5670.0,0.156
Dominican School of Philosophy & Theology,Berkeley,CA,0.4,14536.59,5500.0,0.151
East Los Angeles College,Monterey Park,CA,0.4,15910.96,6020.0,0.166
El Camino Community College District,Torrance,CA,0.4,15620.23,5910.0,0.163
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,0.4,15884.53,6010.0,0.165
Empire College,Santa Rosa,CA,0.3,14774.47,5590.0,0.132
Evergreen Valley College,San Jose,CA,0.3,15593.8,5900.0,0.139
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,0.4,16016.68,6060.0,0.167
Feather River Community College District,Quincy,CA,0.4,15488.08,5860.0,0.161
Federico Beauty Institute,Sacramento,CA,0.3,15170.92,5740.0,0.135
Fielding Graduate University,Santa Barbara,CA,0.4,15858.1,6000.0,0.165
Five Branches University,Santa Cruz,CA,0.3,14298.72,5410.0,0.128
Redondo Beach Beauty College,Torrance,CA,0.4,15620.23,5910.0,0.163
Foothill College,Los Altos Hills,CA,0.3,15435.22,5840.0,0.138
Franciscan School of Theology,San Diego,CA,0.4,15937.39,6030.0,0.166
Fredrick and Charles Beauty College,Eureka,CA,0.3,12078.59,4570.0,0.108
Fresno City College,Fresno,CA,0.3,15620.23,5910.0,0.139
Fresno Pacific University,Fresno,CA,0.3,15620.23,5910.0,0.139
Foothill-De Anza Community College District,Los Altos Hills,CA,0.3,15435.22,5840.0,0.138
Fuller Theological Seminary,Pasadena,CA,0.4,15884.53,6010.0,0.165
Fullerton College,Fullerton,CA,0.4,15805.24,5980.0,0.165
Gavilan College,Gilroy,CA,0.3,15567.37,5890.0,0.139
Gemological Institute of America-Carlsbad,Carlsbad,CA,0.4,15118.06,5720.0,0.157
Glendale Community College,Glendale,CA,0.4,16043.11,6070.0,0.167
Glendale Career College,Glendale,CA,0.4,16043.11,6070.0,0.167
Golden Gate University,San Francisco,CA,0.4,14378.01,5440.0,0.15
Golden West College,Huntington Beach,CA,0.4,15567.37,5890.0,0.162
Graduate Theological Union,Berkeley,CA,0.4,14536.59,5500.0,0.151
